Id,Term,Name,Start Date,End Date,Is Campus Closed
0,2182 ,Winter Term Enrollments Begin,2017-10-23,,False
0,2184 ,Spring Term Classes Officially Displayed,2018-02-06,,False
0,2186 ,Summer Term Classes Officially Displayed,2018-04-16,,False
0,2188 ,Fall Term Classes Officially Displayed,2018-05-11,,False
0,2192 ,Winter Term Classes Officially Displayed,2018-10-24,,False
0,2194 ,Spring Term Classes Officially Displayed,2019-02-07,,False
0,2196 ,Summer Term Classes Officially Displayed,2019-04-15,,False
0,2198 ,Fall Term Classes Officially Displayed,2019-05-06,,False
0,2202 ,Winter Term Classes Officially Displayed,2019-10-23,,False
0,2204 ,Spring Term Classes Officially Displayed,2020-02-06,,False
0,2206 ,Summer Term Classes Officially Displayed,2020-04-15,,False
0,2208 ,Fall Term Classes Officially Displayed,2020-06-25,,False
0,2212 ,Winter Term Classes Officially Displayed,2020-10-19,,False
0,2214 ,Spring Term Enrollments Begin,2021-02-04,,False
0,2216 ,Summer Term Classes Officially Displayed,2021-04-14,,False
0,2218 ,Fall Term Classes Officially Displayed,2021-05-04,,False
0,2222 ,Winter Term Classes Officially Displayed,2021-10-19,,False
0,2224 ,Spring Term Classes Officially Displayed,2022-02-04,,False
0,2226 ,Summer Term Classes Officially Displayed,2022-04-13,,False
1,2182 ,Winter Term Classes Officially Displayed,2017-10-23,,False
1,2184 ,Spring Term Enrollments Begin,2018-02-20,,False
1,2186 ,Summer Term Enrollments Begin,2018-04-24,,False
1,2188 ,Fall Term Enrollments Begin,2018-05-18,,False
1,2192 ,Winter Term Enrollments Begin,2018-10-25,,False
1,2194 ,Spring Term Enrollments Begin,2019-02-08,,False
1,2196 ,Summer Term Enrollments Begin,2019-04-24,,False
1,2198 ,Fall Term Enrollments Begin,2019-05-17,,False
1,2202 ,Winter Term Enrollments Begin,2019-10-23,,False
1,2204 ,Spring Term Enrollments Begin,2020-02-20,,False
1,2206 ,Summer Term Enrollments Begin,2020-04-24,,False
1,2208 ,Fall Term Enrollments Begin,2020-06-29,,False
1,2212 ,Winter Term Enrollments Begin,2020-10-19,,False
1,2214 ,Spring Term Classes Officially Displayed,2021-02-04,,False
1,2216 ,Summer Term Enrollments Begin,2021-04-26,,False
1,2218 ,Fall Term Enrollments Begin,2021-05-18,,False
1,2222 ,Winter Term Enrollments Begin,2021-10-19,,False
1,2224 ,Spring Term Enrollments Begin,2022-02-16,,False
1,2226 ,Summer Term Enrollments Begin,2022-04-25,,False
2,2182 ,Winter Term Open Enrollments Begin,2017-12-12,,False
2,2184 ,Spring Term Open Enrollments Begin,2018-03-15,,False
2,2186 ,Summer Term Open Enrollments Begin,2018-05-01,,False
2,2188 ,Fall Term Open Enrollments Begin,2018-08-25,,False
2,2192 ,Winter Term Open Enrollments Begin,2018-12-08,,False
2,2194 ,Spring Term Open Enrollments Begin,2019-03-16,,False
2,2196 ,Summer Term Open Enrollments Begin,2019-05-01,,False
2,2198 ,Fall Term Open Enrollments Begin,2019-08-24,,False
2,2202 ,Winter Term Open Enrollments Begin,2019-12-07,,False
2,2204 ,Spring Term Open Enrollments Begin,2020-03-14,,False
2,2206 ,Summer Term Open Enrollments Begin,2020-05-01,,False
2,2208 ,Fall Conference,2020-09-04,2020-09-11,False
2,2212 ,Winter Term Open Enrollments Begin,2020-11-30,,False
2,2214 ,Spring Term Open Enrollments Begin,2021-03-13,,False
2,2216 ,Summer Term Open Enrollments Begin,2021-05-01,,False
2,2218 ,Fall Term Open Enrollments Begin,2021-08-28,,False
2,2222 ,Winter Term Open Enrollments Begin,2021-12-04,,False
2,2224 ,Spring Term Open Enrollments Begin,2022-03-12,,False
2,2226 ,Summer Term Open Enrollments Begin,2022-04-30,,False
3,2182 ,Winter Term Waitlists Purged,2018-01-04,,False
3,2184 ,Spring Term Waitlists Purged,2018-03-29,,False
3,2186 ,Summer Term Waitlists Purged,2018-06-21,,False
3,2188 ,Fall Conference,2018-09-13,2018-09-19,False
3,2192 ,Winter Term Classes Begin,2019-01-07,,False
3,2194 ,Spring Term Classes Begin,2019-04-02,,False
3,2196 ,Summer Term Waitlists Purged,2019-06-22,,False
3,2198 ,Fall Conference,2019-09-12,2019-09-18,False
3,2202 ,Winter Term Classes Begin,2020-01-06,,False
3,2204 ,Chavez Birthday,2020-03-31,,True
3,2206 ,Summer Term Waitlists Purged,2020-06-20,,False
3,2208 ,Labor Day,2020-09-07,,True
3,2212 ,Winter Term Classes Begin,2021-01-04,,False
3,2214 ,Spring Term Classes Begin,2021-03-29,,False
3,2216 ,Summer Term Waitlists Purged,2021-06-19,,False
3,2218 ,Fall Term Classes Begin,2021-09-20,,False
3,2222 ,Winter Term Classes Begin,2022-01-03,,False
3,2224 ,Spring Term Classes Begin,2022-03-28,,False
3,2226 ,Summer Term Waitlists Purged,2022-06-18,,False
4,2182 ,Winter Term Classes Begin,2018-01-08,,False
4,2184 ,Spring Term Classes Begin,2018-04-02,,False
4,2186 ,Summer Term Classes Begin,2018-06-25,,False
4,2188 ,Fall Term Classes Begin,2018-09-20,,False
4,2192 ,Winter Term Waitlists Purged,2019-01-11,,False
4,2194 ,Spring Term Waitlists Purged,2019-04-06,,False
4,2196 ,Summer Term Classes Begin,2019-06-24,,False
4,2198 ,Fall Term Classes Begin,2019-09-19,,False
4,2202 ,Winter Term Waitlists Purged,2020-01-10,,False
4,2204 ,Spring Term Classes Begin,2020-04-06,,False
4,2206 ,Summer Term Classes Begin,2020-06-22,,False
4,2208 ,Fall Term Open Enrollments Begin,2020-09-12,,False
4,2212 ,Winter Term Waitlists Purged,2021-01-08,,False
4,2214 ,Chavez Birthday,2021-03-31,,True
4,2216 ,Summer Term Classes Begin,2021-06-21,,False
4,2218 ,Fall Term Waitlists Purged,2021-09-24,,False
4,2222 ,Winter Term Waitlists Purged,2022-01-07,,False
4,2224 ,Chavez Birthday,2022-03-31,,True
4,2226 ,Summer Term Classes Begin,2022-06-20,,False
5,2182 ,King Birthday,2018-01-15,,True
5,2184 ,Spring Term Add/Drop Enrollments End,2018-04-11,,False
5,2186 ,Independence Day,2018-07-04,,True
5,2188 ,Fall Term Waitlists Purged,2018-09-26,,False
